,序号,数据项,业务含义,类型,备注
1,-1,CTLOC_RowID,,RowId,
2,-2,CTLOC_Code,代码,Text,
3,-3,CTLOC_Desc,描述,Text,
4,4,CTLOC_GLCCC_DR,成本中心,DR,指向成本中心表 GLC_CC
5,5,CTLOC_Password,,Text,
6,-6,CTLOC_WardFlag,是否为病区,Y/N,
7,7,CTLOC_Address,地址,Text,
8,8,CTLOC_ActiveFlag,,Y/N,
9,9,CTLOC_Cashier_DR,,DR,指向科室表 CT_Loc
10,10,CTLOC_OTC_DR,,DR,指向科室表 CT_Loc
11,11,CTLOC_StartTime,,Time,
12,12,CTLOC_EndTime,,Time,
13,13,CTLOC_OwnQueFlag,,Y/N,
14,14,CTLOC_RecQueFlag,,Y/N,
15,-15,CTLOC_Type,科室类型,Mul C,"W||Ward,,E||Execute, DI||Drug
Injection, D||Dispensing, C||Cashier,O||Other， OP||Operating Theatre, EM||Emergency,    DS||Day Surgery,MR||Medical Records, OR||OutPatient Consulting Room, CL||Clinic,ADM||Admission Point"
16,16,CTLOC_DispLoc_DR,,DR,指向科室表 CT_Loc
17,17,CTLOC_Floor,科室地面,Text,
18,18,CTLOC_NFMI_DR,,DR,"指向政府部门表
CT_NFMI_CategDepart"
19,19,CTLOC_Laundry,,Y/N,
20,20,CTLOC_Dep_DR,部门组,DR,"指向科室部门组表
RBC_DepartmentGroup"
21,21,CTLOC_DifferentSexPatients,Single Sex Ward,Mul C,"D||Does Not Matter, W||Warning,              N||Not
Allowed"
22,22,CTLOC_Index,,Y/N,
23,23,CTLOC_Hospital_DR,医院,DR,指向医院表 CT_Hospital
24,24,CTLOC_ExecuteConfirmation,,Y/N,
25,25,CTLOC_DateActiveFrom,生效日期,Date,
26,26,CTLOC_DateActiveTo,截止日期,Date,
27,27,CTLOC_RehabilitativeFlag,复原标志,Y/N,
28,28,CTLOC_MedicalRecordActive,"在此科室病历
可用",Y/N,
29,29,CTLOC_DefaultMRType_DR,,DR,"指向病案类型表
RTC_MRecordType"
30,30,CTLOC_ResultDelivery,收集,Y/N,
