,序号,数据项,业务含义,类型,备注
1,-1,PAPMI_RowId,,RowId,
2,,PAPMI_NO,登记号,,Patient_id
3,-2,PAPMI_Name,"姓名, First name",String,NAME
4,-3,PAPMI_DOB,出生日期,String,DATE_OF_BIRTH
5,-4,PAPMI_Name2,Middle name,String,NAME_PHONETI C
6,-5,PAPMI_Name4,Last name,,
7,6,PAPMI_Name3,医保手册号,String,
8,7,PAPMI_Medicare,病历号(住院),,INP_NO
9,8,PAPMIMedicareExpDate,,,
10,9,PAPMI_MedicareCode,传真,,
11,10,PAPMI_GovernCardNo,门诊病历号,,
12,-11,PAPMI_DVAnumbe,身份证号,,Id_no
13,12,PAPMIAlias,病人别名,Pa_patmas,
14,13,PAPMIIPNo,住院号,,
15,14,PAPMIOPNo,门诊号,,
16,15,PAPMIEstAgeYear,,,
17,16,PAPMIEstAgeMonth,,,
18,17,PAPMIEstAgeTmStmp,,,
19,18,PAPMISoundex,,,
20,19,PAPMILangPrimDR,母语,,
21,20,PAPMILangSecondDR,第二母语,i,
22,21,PAPMIPrefLanguageDR,首选语言,,
23,22,PAPMIActive,激活,,
24,23,PAPMIVIPFlag,VIP 标志,,VIP_INDICATOR
25,24,PAPMIPatCategoryDR,病人分类,,identity
26,25,PAPMIHomeClinicNo,,,
27,26,PAPMIRemark,备注,,
28,27,PAPMIDeceased,死亡标志,,
29,28,PAPMIDeceasedDate,死亡日期,,
30,29,PAPMIDeceasedTime,死亡时间,,
31,30,PAPMIBlackList,黑名单标志,,
32,31,PAPMIEstimatedDeathDate,,,
33,32,PAPMIMotherDR,母亲记录指针,,
34,33,PAPMIMother1DR,,,
35,34,PAPMIRefDocDR,家庭医生,,
36,35,PAPMIDentistDR,牙医,,
37,36,PAPMIDentistClinicDR,牙医诊所,,
38,37,PAPMITraceStatusDR,,,
39,38,PAPMIMedicareSuffixDR,,,
40,39,PAPMIAllergy,过敏记录,,
41,40,PAPMIEPRDescription,电子病历,,
42,41,PAPMIConcessionCardNo,,,
43,42,PAPMIConcessionCardExpDate,,,
44,43,PAPMISafetyNetCardNo,,,
45,44,PAPMISafetyNetCardExpDate,,,
46,45,PAPMIGovernCardNo,,,
47,46,PAPMIDVAnumber,,,
48,47,PAPMIInsuranceCardHolder,,,
49,48,PAPMICardTypeDR,,,
50,49,PAPMICHCPatient,,,
51,50,PAPMICTHCADR,CTHealthCareArea,,
52,51,PAPMIHealthFundNo,,,
53,52,PAPMIHealthCardExpiryDate,"健康卡号失效日
期",,
54,53,PAPMICountryOfBirthDR,出生国,,BIRTH_PLACE
55,54,PAPMICityBirthDR,出生城市,,
56,55,PAPMITitleDR,头衔,,
57,56,PAPMICTRegionDR,所在地区,,
58,57,PAPMICTProvinceDR,所在省,,
59,58,PAPMICityAreaDR,所在区,,
60,59,PAPMIEmail,电子邮件,,
61,60,PAPMIMobPhone,手机,,
62,61,PAPMISecondPhone,第二联系电话,,
63,62,PAPMIAuxInsTypeDR,,,
64,63,PAPMIPensionTypeDR,,,
65,64,PAPMIIndigStatDR,,,
66,65,PAPMIRequireAssistanceMeal,需要辅食,,
67,66,PAPMIRequireAssistanceMenu,需要辅食菜单,,
