,序号,数据项,业务含义,类型,备注
1,-1,REA_RowId,,RowId,
2,-2,PAPER_PAPMI_DR,,,PA_PatMast
3,-3,PAPER_ID,,身份证号,
4,4,PAPER_Marital_DR,,婚姻状况,
5,-5,PAPER_Sex_DR,,性别,CT_Sex
6,-6,PAPER_Age,,年龄,
7,-7,PAPER_SocialStatus_DR,,病人类型,
8,8,PAPER_Occupation_DR,,职业,
9,9,PAPER_Education_DR,,学历,
10,10,PAPER_Email,,Email,
11,11,PAPER_Country_DR,,国籍,CT_Country
12,12,PAPER_ReligionDR,,宗教,
13,13,PAPER_Nation_DR,,民族,CT_Nation
14,14,PAPER_StayingPermanently,,是否永久居住,
15,15,PAPER_SecondPhone,,工作单位,
16,16,PAPER_ZipDR,,邮编,
17,17,PAPER_StName,,街道住址,
18,18,PAPER_House_Building_No,,门牌号,
19,19,PAPER_MobPhone,,手机,
20,20,PAPER_TelH,,家庭电话,
21,21,PAPER_TelO,,办公电话,
22,22,PAPER_CTRLTDR,,联系人关系,"CTRelation
""EMP""。4"
23,23,PAPER_Name6,,工作单位邮编,
24,24,PAPER_ForeignId,,联系人姓名,"""PER"",2。13"
25,25,PAPER_ForeignCountry,,护照国籍,
26,26,PAPER_PassportNumber,,护照号,
27,27,PAPER_ForeignAddress,,"国际地址/ 联系人地
址",
28,28,PAPER_ForeignPhone,,联系人电话,"""ALL""。4"
29,29,PAPER_ForeignPostCode,,国际邮编,"肿瘤作为
病人的联系邮编"
