,序号,数据项,"数据项名称（业务
含义）",类型,长度,"可否为
空","缺省
值",备注说明
1,,AccPDF_RowID,,,,,,
2,1,AccPDF_Date,结算日期,Date,,,,
3,2,AccPDF_Time,结算时间,Time,,,,
4,3,AccPDF_User_DR,"结算员用户
RowID",DR,,,,SS_User
5,4,AccPDF_LastDate,上次结算日期,Date,,,,
6,5,AccPDF_LastTime,上次结算时间,Time,,,,
7,6,AccPDF_OperUser_DR,"收款员用户
RowID",DR,,,,SS_User
8,7,AccPDF_INSFootUser,财务接收人员,DR,,,,SS_User
9,8,AccPDF_INSFootDate,财务接收日期,Date,,,,
10,9,AccPDF_INSFootTime,财务接收时间,Time,,,,
11,10,AccPDF_Note1,,,,,,
12,11,AccPDF_Note2,,,,,,
13,12,AccPDF_Note3,,,,,,
14,13,AccPDF_Note4,,,,,,
15,14,AccPDF_footnum,,,,,,
16,15,AccPDF_refundnum,,,,,,
17,16,AccPDF_footsum,,,,,,
18,17,AccPDF_pdsum,,,,,,
19,18,AccPDF_refundsum,,,,,,
20,19,AccPDF_cashsum,,,,,,
21,20,AccPDF_chequesum,,,,,,
22,21,AccPDF_othersum,,,,,,
23,22,AccPDF_rcptstr,,,,,,
24,23,AccPDF_Other1,,,,,,
25,24,AccPDF_Other2,,,,,,
26,25,AccPDF_Other3,,,,,,
27,26,AccPDF_Other4,,,,,,
28,27,AccPDF_Other5,,,,,,
29,28,AccPDF_Other6,,,,,,
30,29,AccPDF_Other7,,,,,,
31,30,AccPDF_Other8,,,,,,
32,31,AccPDF_Other9,,,,,,
