,序号,数据项,数据项名称（业务含义）,类型,长度,"可否为
空","缺省
值",备注说明
1,1,AccPF_RowID,,RowID,,,,
2,2,AccPF_Date,本次报表对帐日期,Date,,,,
3,3,AccPF_Time,本次报表对帐时间,Time,,,,
4,4,AccPF_User_DR,报表操作人,DR,,,,SS_User
5,5,AccPF_LastDate,上次报表对帐日期,Date,,,,
6,6,AccPF_LastTime,上次报表对帐时间,Time,,,,
7,7,AccPF_PreLeftSum,前期余额汇总,Number,,,,
8,8,AccPF_PreSum,收预缴金流水汇总,Number,,,,"是财务已结算，此
值与出纳本次收预缴款一致。"
9,9,AccPF_CardPaySum,卡支付流水汇总(是计算的出),Number,,,,是财务已结算，此值与出纳手中卡消费汇总一致
10,10,AccPF_LeftSum,本期余额,Number,,,,"此数与出纳手中的预缴金余款一
致，总预缴款余额"
11,11,AccPF_RefundPreSum,退预缴金流水汇总,Number,,,,"是财务已结算，此值与出纳本次退/
结算预缴款一致。"
12,12,AccPF_Note1,,,,,,
13,13,AccPF_Note2,,,,,,
14,14,AccPF_Note3,,,,,,
15,15,AccPF_Note4,,,,,,
16,16,AccPF_Note5,,,,,,
17,17,AccPF_Note6,,,,,,
18,18,AccPF_Note7,,,,,,
19,19,AccPF_Note8,,,,,,
20,20,AccPF_Note9,,,,,,
